Epoch,Precision,Recall,Accuracy,AUROC,F1,Best Epoch
5,0.055984555984555984,1.0,0.055984555984555984,0.30382483604823357,0.10603290676416818,5
10,0.055984555984555984,1.0,0.055984555984555984,0.4468782173330512,0.10603290676416818,10
15,0.055984555984555984,1.0,0.055984555984555984,0.6678400676962133,0.10603290676416818,15
20,0.055984555984555984,1.0,0.055984555984555984,0.4412255835272548,0.10603290676416818,20
25,0.055984555984555984,1.0,0.055984555984555984,0.7787180029617093,0.10603290676416818,25
30,0.055984555984555984,1.0,0.055984555984555984,0.5,0.10603290676416818,30
35,0.055984555984555984,1.0,0.055984555984555984,0.5,0.10603290676416818,35
40,0.055984555984555984,1.0,0.055984555984555984,0.7704012410972428,0.10603290676416818,40
45,0.055984555984555984,1.0,0.055984555984555984,0.5,0.10603290676416818,45
50,0.055984555984555984,1.0,0.055984555984555984,0.5,0.10603290676416818,50
55,0.055984555984555984,1.0,0.055984555984555984,0.7076891615541923,0.10603290676416818,55
60,0.055984555984555984,1.0,0.055984555984555984,0.5,0.10603290676416818,60
65,0.055984555984555984,1.0,0.055984555984555984,0.5,0.10603290676416818,65
70,0.055984555984555984,1.0,0.055984555984555984,0.5,0.10603290676416818,70
75,0.055984555984555984,1.0,0.055984555984555984,0.5,0.10603290676416818,75
80,0.055984555984555984,1.0,0.055984555984555984,0.5,0.10603290676416818,80
85,0.055984555984555984,1.0,0.055984555984555984,0.5,0.10603290676416818,85
90,0.055984555984555984,1.0,0.055984555984555984,0.5,0.10603290676416818,90
95,0.055984555984555984,1.0,0.055984555984555984,0.5,0.10603290676416818,95
100,0.055984555984555984,1.0,0.055984555984555984,0.5,0.10603290676416818,100
