Epoch,Precision,Recall,Accuracy,AUROC,F1,Best Epoch
5,0.06282495667244367,1.0,0.16486486486486487,0.8084521542909526,0.1182225845902976,5
10,0.0,0.0,0.944015444015444,0.7929680558493759,0.0,5
15,0.25,0.034482758620689655,0.9401544401544402,0.8297637684225372,0.06060606060606061,5
20,0.05661850839515814,1.0,0.06718146718146718,0.5167689161554192,0.10716925351071692,20
25,0.2903225806451613,0.06206896551724138,0.938996138996139,0.824587828784994,0.10227272727272728,20
30,0.3783783783783784,0.09655172413793103,0.9405405405405406,0.8183908045977011,0.15384615384615385,20
35,0.0,0.0,0.944015444015444,0.8189859671391299,0.0,20
40,0.0,0.0,0.944015444015444,0.8019011353219097,0.0,20
