Epoch,Precision,Recall,Accuracy,AUROC,F1,Best Epoch
5,0.0,0.0,0.944015444015444,0.787952894718285,0.0,0
10,0.055984555984555984,1.0,0.055984555984555984,0.7507919046611663,0.10603290676416818,10
15,0.07595599790466212,1.0,0.31891891891891894,0.7821042239616388,0.14118792599805258,15
20,0.055984555984555984,1.0,0.055984555984555984,0.687691982229744,0.10603290676416818,20
25,0.05602782071097372,1.0,0.05675675675675676,0.7257231506945914,0.10611050128064398,25
30,0.055984555984555984,1.0,0.055984555984555984,0.6185882518863267,0.10603290676416818,30
35,0.09090909090909091,0.006896551724137931,0.9405405405405406,0.7372174035681546,0.01282051282051282,30
40,0.055984555984555984,1.0,0.055984555984555984,0.6295451660672731,0.10603290676416818,40
45,0.0,0.0,0.944015444015444,0.7621267893660533,0.0,40
50,0.06380150642445724,0.993103448275862,0.1837837837837838,0.6553726817572808,0.11990008326394672,50
55,0.0,0.0,0.944015444015444,0.7676665961497778,0.0,50
60,0.0,0.0,0.944015444015444,0.7874113250123403,0.0,50
65,0.0,0.0,0.944015444015444,0.7056991749524011,0.0,50
70,0.0,0.0,0.944015444015444,0.7198589662224102,0.0,50
75,0.18110236220472442,0.31724137931034485,0.8814671814671815,0.7337000211550666,0.23057644110275688,75
80,0.0,0.0,0.944015444015444,0.7291107820322967,0.0,75
85,0.14361702127659576,0.18620689655172415,0.8922779922779923,0.6914378393625275,0.16216216216216217,75
90,0.0,0.0,0.944015444015444,0.7756067978280798,0.0,75
95,0.055984555984555984,1.0,0.055984555984555984,0.7182540018334391,0.10603290676416818,95
100,0.0,0.0,0.944015444015444,0.7534503913687329,0.0,95
