Epoch,Precision,Recall,Accuracy,AUROC,F1,Best Epoch
5,0.055984555984555984,1.0,0.055984555984555984,0.667816091954023,0.10603290676416818,5
10,0.05602782071097372,1.0,0.05675675675675676,0.6891587335166773,0.10611050128064398,5
15,0.10918544194107452,0.8689655172413793,0.5957528957528958,0.7922600662858754,0.19399538106235567,5
20,0.0562015503875969,1.0,0.059845559845559844,0.542321415979127,0.10642201834862386,5
25,0.30303030303030304,0.06896551724137931,0.938996138996139,0.7950581764332559,0.11235955056179775,5
30,0.08204134366925064,0.8758620689655172,0.4444015444015444,0.7453409491573232,0.15002953337271116,5
35,0.05930470347648262,1.0,0.11196911196911197,0.7529186940272194,0.11196911196911197,5
40,0.05655226209048362,1.0,0.06602316602316602,0.7427966998096043,0.10705057216685124,5
45,0.05642023346303502,1.0,0.0637065637065637,0.7915774628023412,0.10681399631675875,5
50,0.0562888198757764,1.0,0.06138996138996139,0.7762992736760455,0.1065784638000735,5
55,0.20146520146520147,0.3793103448275862,0.8810810810810811,0.813779000070517,0.2631578947368421,5
60,0.05600617999227501,1.0,0.05637065637065637,0.5771031662083069,0.10607168983174835,5
65,0.05600617999227501,1.0,0.05637065637065637,0.7747676468514209,0.10607168983174835,5
70,0.0,0.0,0.944015444015444,0.7975897327409914,0.0,5
75,0.055984555984555984,1.0,0.055984555984555984,0.6211832733939779,0.10603290676416818,5
80,0.05600617999227501,1.0,0.05637065637065637,0.6632677526267541,0.10607168983174835,5
85,0.103125,0.9103448275862069,0.5517374517374517,0.8193089344898105,0.18526315789473685,5
90,0.05749405233941316,1.0,0.08223938223938224,0.8023312883435583,0.10873640794900638,5
95,0.0569297212406753,1.0,0.07258687258687259,0.8116536210422396,0.10772659732540862,5
100,0.05613627564847077,1.0,0.05868725868725869,0.6195289471828502,0.1063049853372434,5
