Epoch,Precision,Recall,Accuracy,AUROC,F1,Best Epoch
1,0.036293436293436294,1.0,0.036293436293436294,0.5690381205673759,0.07004470938897168,1
2,0.036293436293436294,1.0,0.036293436293436294,0.4733914689034369,0.07004470938897168,1
3,0.0,0.0,0.9637065637065637,0.7768088516093835,0.0,1
4,0.062,0.9893617021276596,0.4563706563706564,0.7877412370430987,0.11668757841907151,4
5,0.03653322969296541,1.0,0.04285714285714286,0.7241160324604473,0.07049118860142482,4
6,0.0,0.0,0.9637065637065637,0.7386797599563556,0.0,4
7,0.0,0.0,0.9637065637065637,0.7608812397708674,0.0,4
8,0.0,0.0,0.9633204633204633,0.7703644980905618,0.0,4
9,0.036293436293436294,1.0,0.036293436293436294,0.7102449024822695,0.07004470938897168,4
10,0.04103011785246617,1.0,0.15173745173745173,0.7648428975722859,0.07882599580712789,4
11,0.044570886676149835,1.0,0.222007722007722,0.8152810454173486,0.08533817521561507,4
12,0.07835455435847209,0.851063829787234,0.6312741312741312,0.7626798622476814,0.14349775784753363,12
13,0.03644823575029081,1.0,0.04054054054054054,0.8033023049645389,0.07033295922184811,12
14,0.03644823575029081,1.0,0.04054054054054054,0.7372007978723404,0.07033295922184811,12
15,0.0,0.0,0.9637065637065637,0.752199263502455,0.0,12
16,0.08078602620087336,0.7872340425531915,0.6671814671814672,0.7759947831423896,0.14653465346534653,16
17,0.0,0.0,0.9637065637065637,0.7526680987452264,0.0,16
18,0.037360890302066775,1.0,0.06486486486486487,0.7188309806328423,0.07203065134099616,16
19,0.03646237393328161,1.0,0.040926640926640924,0.7893033108292417,0.07035928143712575,16
20,0.037435284747112704,1.0,0.0667953667953668,0.7879159847244955,0.07216890595009597,16
21,0.0,0.0,0.9637065637065637,0.7699297599563557,0.0,16
22,0.036293436293436294,1.0,0.036293436293436294,0.7829569864975451,0.07004470938897168,16
23,0.0377207062600321,1.0,0.07413127413127413,0.8047812670485541,0.07269914926527456,16
24,0.0,0.0,0.9633204633204633,0.7587629569012548,0.0,16
25,0.05257207461842849,0.9893617021276596,0.3525096525096525,0.7542664007092198,0.0998389694041868,16
26,0.11221122112211221,0.3617021276595745,0.8729729729729729,0.781650641025641,0.1712846347607053,26
27,0.0,0.0,0.9617760617760618,0.762283483360611,0.0,26
28,0.0,0.0,0.9637065637065637,0.7703858087834151,0.0,26
29,0.03632148377125193,1.0,0.037065637065637064,0.7390697456355702,0.07009694258016405,26
30,0.06378454996456413,0.9574468085106383,0.48841698841698844,0.7876389457174031,0.11960132890365449,26
31,0.047692307692307694,0.9893617021276596,0.28262548262548265,0.8047045485542826,0.09099804305283757,26
32,0.04633781763826607,0.9893617021276596,0.2606177606177606,0.7139849290780141,0.08852927177534507,26
33,0.03634957463263728,1.0,0.03783783783783784,0.7474363236497544,0.07014925373134329,26
34,0.06394052044609666,0.9148936170212766,0.5108108108108108,0.7716346153846154,0.11952744961779013,26
35,0.038477282030290626,1.0,0.09305019305019305,0.8083870362793235,0.07410327158060702,26
36,0.0,0.0,0.9633204633204633,0.7259743248772503,0.0,26
37,0.0,0.0,0.9637065637065637,0.7392082651391162,0.0,26
38,0.03650485436893204,1.0,0.04208494208494209,0.7618423520185489,0.0704383664293743,26
39,0.05912269548633185,0.9893617021276596,0.4281853281853282,0.8152320308237861,0.11157768446310738,26
40,0.03653322969296541,1.0,0.04285714285714286,0.6713443637479541,0.07049118860142482,26
41,0.0,0.0,0.9637065637065637,0.7489770867430442,0.0,26
42,0.03630745461568173,1.0,0.03667953667953668,0.5727760160938352,0.07007081625046589,26
43,0.03630745461568173,1.0,0.03667953667953668,0.7942708333333334,0.07007081625046589,26
44,0.07535460992907801,0.9042553191489362,0.5938223938223938,0.7803847858701582,0.13911620294599017,26
45,0.06097560975609756,0.05319148936170213,0.9359073359073359,0.7564827127659575,0.056818181818181816,26
46,0.0,0.0,0.9633204633204633,0.7596580060010911,0.0,26
47,0.03644823575029081,1.0,0.04054054054054054,0.6794701309328969,0.07033295922184811,26
48,0.14285714285714285,0.05319148936170213,0.9540540540540541,0.7464794735406438,0.07751937984496124,26
49,0.05204252937884723,0.9893617021276596,0.34555984555984554,0.8050987963720675,0.09888357256778309,26
50,0.036293436293436294,1.0,0.036293436293436294,0.5530423145117294,0.07004470938897168,26
51,0.0,0.0,0.9594594594594594,0.7601737247681396,0.0,26
52,0.03739061256961018,1.0,0.06563706563706563,0.7078772845062739,0.07208588957055215,26
53,0.03924843423799582,1.0,0.11158301158301158,0.7314405175941081,0.07553234230614704,26
54,0.0,0.0,0.9637065637065637,0.7526553123295144,0.0,26
55,0.0,0.0,0.9637065637065637,0.7180169121658483,0.0,26
56,0.0,0.0,0.9637065637065637,0.7511124181669394,0.0,26
57,0.0,0.0,0.9637065637065637,0.7758669189852699,0.0,26
58,0.0,0.0,0.9621621621621622,0.7944498431533006,0.0,26
59,0.06950672645739911,0.32978723404255317,0.8154440154440155,0.7113168303327877,0.11481481481481481,26
60,0.07741935483870968,0.3829787234042553,0.8119691119691119,0.7501534369885433,0.12880143112701253,26
61,0.05954974582425563,0.8723404255319149,0.49536679536679534,0.7410985235951991,0.1114887831407206,26
62,0.038180341186027617,1.0,0.08571428571428572,0.8163231382978723,0.07355242566510173,26
63,0.05363321799307959,0.9893617021276596,0.36602316602316604,0.7940747749590835,0.10175054704595186,26
64,0.0,0.0,0.9637065637065637,0.7937679009819968,0.0,26
65,0.07142857142857142,0.8085106382978723,0.6115830115830115,0.7630293576104746,0.13126079447322972,26
66,0.03681942812377595,1.0,0.05057915057915058,0.7165954889525368,0.07102380052890064,26
