Epoch,Precision,Recall,Accuracy,AUROC,F1,Best Epoch
1,0.05602782071097372,1.0,0.05675675675675676,0.5294182356674424,0.10611050128064398,1
2,0.055984555984555984,1.0,0.055984555984555984,0.7246851420915309,0.10603290676416818,1
3,0.055984555984555984,1.0,0.055984555984555984,0.6467230801777025,0.10603290676416818,1
4,0.057608263806118394,1.0,0.08416988416988418,0.7990014808546647,0.10894064613072878,4
5,0.22784810126582278,0.12413793103448276,0.9274131274131274,0.8214343135180876,0.16071428571428573,5
6,0.055984555984555984,1.0,0.055984555984555984,0.8228996544672449,0.10603290676416818,5
7,0.055984555984555984,1.0,0.055984555984555984,0.7653606938861858,0.10603290676416818,5
8,0.056049478160030926,1.0,0.05714285714285714,0.5770114942528736,0.1061493411420205,5
9,0.05622334238076774,1.0,0.06023166023166023,0.7331894788801918,0.10646108663729809,5
10,0.09872611464968153,0.8551724137931035,0.5548262548262548,0.7897609477469855,0.17701641684511063,10
11,0.05672926447574335,1.0,0.06911196911196911,0.6385205556730837,0.10736764161421695,10
12,0.06852551984877127,1.0,0.238996138996139,0.7832071081023906,0.12826183104820876,10
13,0.0,0.0,0.944015444015444,0.8172315069459135,0.0,10
14,0.0797872340425532,0.9310344827586207,0.394980694980695,0.6868514209153092,0.14697876973326074,10
15,0.05600617999227501,1.0,0.05637065637065637,0.5005500317325999,0.10607168983174835,10
16,0.0,0.0,0.944015444015444,0.774546223820605,0.0,10
17,0.055984555984555984,1.0,0.055984555984555984,0.5786587687751216,0.10603290676416818,10
18,0.06464556397681677,1.0,0.18996138996138995,0.7691107820322968,0.12144053601340034,10
19,0.05672926447574335,1.0,0.06911196911196911,0.7357238558634793,0.10736764161421695,10
20,0.0594018844735764,1.0,0.11351351351351352,0.6758211691700161,0.11214230471771075,10
21,0.05600617999227501,1.0,0.05637065637065637,0.7737141245328255,0.10607168983174835,10
22,0.09702062643239114,0.8758620689655172,0.5366795366795367,0.7691474508144701,0.1746905089408528,10
23,0.0,0.0,0.944015444015444,0.7862407446583457,0.0,10
24,0.055984555984555984,1.0,0.055984555984555984,0.7985318383752908,0.10603290676416818,10
25,0.05600617999227501,1.0,0.05637065637065637,0.6475453071010506,0.10607168983174835,10
26,0.2807017543859649,0.1103448275862069,0.9343629343629344,0.827966998096044,0.15841584158415842,10
27,0.057266982622432856,1.0,0.07837837837837838,0.7868457795642056,0.10833022039596563,10
28,0.06611947104423165,1.0,0.20926640926640927,0.7761892673295254,0.12403763900769889,10
29,0.0657298277425204,1.0,0.20424710424710424,0.5977462802341161,0.12335176520629519,10
30,0.05600617999227501,1.0,0.05637065637065637,0.8302841830618433,0.10607168983174835,10
31,0.05816285599679102,1.0,0.09343629343629344,0.8141414568789225,0.10993176648976498,10
32,0.06852551984877127,1.0,0.238996138996139,0.8307594668923207,0.12826183104820876,10
33,0.05697445972495088,1.0,0.07335907335907337,0.7813779000070518,0.10780669144981413,10
34,0.055984555984555984,1.0,0.055984555984555984,0.8140554262745927,0.10603290676416818,10
35,0.05626697710516104,1.0,0.061003861003861,0.8117890134687258,0.106539309331374,10
36,0.05642023346303502,1.0,0.0637065637065637,0.7984458077709612,0.10681399631675875,10
